Investment Name	Sponsor	Property Type	Location	Average Annual Return	Equity Multiple	Holding Period	City	Location Note	Asset Class	Asset Class 2
National Fire & Resource - Tucson, AZ	Syndicated Equities	Government / GSA-leased	AZ	0.0557	1.56	10.05	Tucson		Government / GSA-Leased	
Holiday Inn Express (Note B) - Solana Beach, CA	Peachtree Group	Credit - Hotel		0.113	1.16	1.42			Credit / Debt	
The Stratford	Bluerock	Multifamily / residential	NC	0.348271	1.493384	1.416667	Cary		Multifamily / Residential	
Arby's	AEI	Net-leased restaurant	AL	0.033944	1.6063	17.861739	Homewood		Net Lease (NNN) Retail	
Holiday Inn Express - Alpharetta, GA	Peachtree Group	Credit - Hotel		0.5732	1.43	0.75			Credit / Debt	
Hampton Inn (Note A) - Alamosa, CO	Peachtree Group	Credit - Hotel		0.1922	1.18	0.94			Credit / Debt	
Champps	AEI	Net-leased restaurant	OH	0.054861	1.8527	15.542779	Columbus (Easton)		Net Lease (NNN) Retail	
Homewood Suites - Eatontown, NJ	Peachtree Group	Credit - Hotel		0.121	1.46	3.8			Credit / Debt	
Storesmart Fayetteville GA	Reliant	Self storage		0.345952	2.47	4.25		United States - state not disclosed in the Full Cycle Programs table	Self Storage	
Pointe Plaza Shopping Center - Niles, IL	Syndicated Equities	Retail	IL	0.0682	1.17	2.49	Niles		Net Lease (NNN) Retail	
SpringHill Suites (Note 2) - Coralville, IA	Peachtree Group	Credit - Hotel		0.2748	1.24	0.87			Credit / Debt	
Stanford 1050 - Los Angeles, CA	Peachtree Group	Credit - Mixed Use		0.6641	1.04	0.06			Credit / Debt	
LaQuinta Inn (Note 2) - Lenexa, KS	Peachtree Group	Credit - Hotel		0.4195	1.17	0.41			Credit / Debt	
Alexan Southside Place	Bluerock	Multifamily / residential	TX	-0.073377	0.547507	6.166667	Houston		Multifamily / Residential	
BB&T Quarter 3 2012 Portfolio	Peachtree Group	Credit - Hotel		0.0719	1.16	2.23			Credit / Debt	
Windsor Falls	Bluerock	Multifamily / residential	NC	0.553948	1.830922	1.5	Raleigh		Multifamily / Residential	
TownePlace Suites - Southaven, MS	Peachtree Group	Hotel		0.1017	1.54	5.31			Hotel / Hospitality	
Sundance Creek - McDonough, GA	Passco Companies	Multifamily / residential	GA	0.1233	1.6979	5.66	McDonough		Multifamily / Residential	
Lower Broadway	Bluerock	Multifamily / residential	TX	0.256926	1.299747	1.166667	Sam Antonio		Multifamily / Residential	
Home2 Suites - Florida City, FL	Peachtree Group	Credit - Hotel		0.1396	1.31	2.22			Credit / Debt	
Holiday Inn - Mobile, AL	Peachtree Group	Credit - Hotel		-0.0878	0.65	3.99			Credit / Debt	
Charlotte Office 1031 DST	Inland Private Capital	Office		0.023	1.24	10.42			Office	
Residence Inn - Little Rock, AR	Peachtree Group	Hotel		0.1574	1.79	5.02			Hotel / Hospitality	
Sonesta ES Suites - Middleburg Heights, OH	Peachtree Group	Credit - Hotel		0.1929	1.47	2.44			Credit / Debt	
National Net Lease Portfolio V DST	Inland Private Capital	Retail		0.022	1.2	9.08			Net Lease (NNN) Retail	
Holiday Inn Express (Note A) - Charlotte, NC	Peachtree Group	Credit - Hotel		0.1218	1.02	0.16			Credit / Debt	
AC - San Diego, CA	Peachtree Group	Credit - Hotel		0.1417	1.49	3.46			Credit / Debt	
